rooms,price
7,325816.0257752079
4,201134.8336659364
8,402269.12080113107
5,253716.75257805505
7,368397.4303190886
10,520378.464801798
3,138115.78255236667
7,337677.1308390211
8,379196.02578089054
5,263976.3134056095
4,228976.4021667543
8,393698.36144182156
8,395171.3887055001
3,179335.65113797953
6,310111.15706430015
5,258724.7140960211
2,76181.66988052547
8,413574.5613855884
6,281417.27318980487
2,77319.59628130084
5,243064.56846466576
1,38284.145531026195
10,495568.0061122992
6,271180.3673095016
9,469176.32612935343
1,72553.72589032858
10,461053.1505171837
3,169569.156113331
7,333789.4274035675
4,217139.51073965573
9,448631.0701466717
3,150575.51128161998
5,246298.04701157563
3,174242.5840846697
7,325208.2397494994
5,262156.8067747002
9,472026.603297791
7,364326.80161080824
2,146493.97828646837
4,189421.064745506
9,469146.09645187063
2,97878.18729317159
10,524668.1215270534
9,449846.2200855726
10,492242.4843627506
5,276121.44407743256
2,90168.7612196214
4,171745.48482198888
7,339663.06233652344
8,412380.65893177065
3,177840.77503174182
1,52222.58750593024
4,226363.9413446805
2,72836.50157044813
8,391134.73070364195
4,194228.49765691799
2,97708.8114505496
6,301681.88776500395
6,313818.21914784383
10,491103.8632365902
4,202780.5737390625
6,299097.54219351895
2,81482.201922177
10,497726.6662183713
2,97126.80940205764
10,496698.38869993907
4,200635.189131629
8,401513.47081226774
7,341354.0964178534
9,475454.2946794253
8,376610.38741593965
5,235580.59783060208
2,155599.27248447112
5,229240.1729002154
8,372924.90650580486
10,514689.53490002436
9,408457.60292452254
9,445294.5218005512
1,92916.49850152977
9,419101.28155693196
7,310360.7102852257
9,420016.375960846
8,417967.1913669397
1,72495.53439971624
8,389748.22406042984
8,413664.24808002135
3,177805.10655023978
1,85746.92828859651
8,395073.29437640304
3,103970.56564660027
3,133582.42155180627
1,41463.916101294846
5,244821.2240684322
10,496242.8119798256
7,372377.8919586134
10,525488.5685337516
9,446566.52692150435
7,371969.6975210364
9,457153.2273326218
8,401290.11945725145
2,118130.88314219928
1,51445.040964758315
7,391156.22354195523
7,321231.7766641088
8,389696.5820181596
5,247469.62206092098
3,158789.0538091598
8,425359.2097420618
6,299512.02865527687
3,121555.40700987585
1,66850.27792910009
3,165099.1753228393
5,211162.8268124119
3,149923.91732658402
1,18197.16338639404
5,236706.97804995874
10,481943.821460744
7,366185.2939648397
7,352336.6034834437
9,424288.17998487945
10,517601.31925914687
10,471323.8835214317
3,156602.27580941888
7,333719.7866141689
1,42686.458349389606
4,210085.41496076767
4,210428.98798119058
5,276739.3814711192
7,348354.9260065709
7,356129.0172592668
4,191245.2535519135
7,353639.797652456
3,158789.72096017023
6,298033.80305091245
2,63924.99031815008
10,506629.4179266179
9,457291.22954710916
5,236396.53047304097
6,274312.2592785497
4,229517.5830100793
10,509828.910217888
7,345418.3793815658
9,427259.34233705024
7,333563.70343157306
1,76051.80793572463
1,52753.23881736092
9,438988.25865998585
9,460193.7846244931
4,183712.03625107353
9,480016.86060560757
3,177056.01069793451
7,340668.5185759445
6,287426.5950593828
8,347637.3360261544
9,420368.38456897263
5,223210.60450084487
1,52703.80681974772
3,143475.3259111728
10,473093.2902516952
8,394376.7191507089
6,310106.742952947
8,410556.78699831176
9,412006.5943828224
4,197434.73039032338
